Player,Pos,W,T/O,GA,SV,SO,G,A,PIM,-9999
Connor Hellebuyck,G,47,3,125,1539,8,0,1,2,helleco01
Andrei Vasilevskiy,G,38,5,136,1580,6,0,2,8,vasilan02
Sam Montembeault,G,31,7,166,1513,4,0,1,0,montesa01
Igor Shesterkin,G,27,5,167,1584,6,0,0,6,shestig01
Ilya Sorokin,G,30,6,158,1537,4,1,2,2,sorokil01
Filip Gustavsson,G,31,6,146,1546,5,1,1,0,gustafi01
Jake Oettinger,G,36,4,147,1464,2,0,1,0,oettija01
Juuse Saros,G,20,6,167,1425,4,0,1,4,sarosju01
Jeremy Swayman,G,22,7,176,1456,4,0,0,2,swaymje01
Karel Vejmelka,G,26,8,145,1362,1,0,1,0,vejmeka01
Joey Daccord,G,27,5,151,1448,2,0,2,0,daccojo01
Jordan Binnington,G,28,5,145,1312,3,0,0,6,binnijo01
Mackenzie Blackwood,G,28,6,137,1412,4,0,1,2,blackma01
Mackenzie Blackwood,G,6,3,53,530,1,0,0,0,blackma01
Mackenzie Blackwood,G,22,3,84,882,3,0,1,2,blackma01
Ukko-Pekka Luukkonen,G,24,5,169,1320,2,0,1,2,luukkuk01
Sergei Bobrovsky,G,33,2,130,1245,5,0,1,4,bobrose01
Lukáš Dostál,G,23,7,158,1467,1,0,0,0,dostalu01
Elvis Merzļikins,G,26,5,168,1389,1,0,1,8,merzlel01
Dustin Wolf,G,29,8,140,1409,3,0,3,2,wolfdu01
Kevin Lankinen,G,25,10,132,1213,4,0,1,0,lankike01
Stuart Skinner,G,26,4,138,1187,3,0,0,0,skinnst01
Adin Hill,G,32,5,121,1172,4,0,0,4,hillad01
Darcy Kuemper,G,31,7,100,1166,5,0,1,12,kuempda01
Jacob Markström,G,26,6,121,1092,4,0,0,0,marksja02
Alexandar Georgiev,G,15,4,165,1152,0,0,1,0,georgal01
Alexandar Georgiev,G,8,0,53,368,0,0,1,0,georgal01
Alexandar Georgiev,G,7,4,112,784,0,0,0,0,georgal01
Samuel Ersson,G,22,5,136,1026,2,0,0,2,erssosa01
