Player,Pos,G,A,PIM,PPG,SHG,GWG,PP,SH,SOG,FOW,FOL,BLK,HIT,-9999
Nikita Kucherov,RW,37,84,45,8,0,9,38,0,265,1,1,33,23,kucheni01
Nathan MacKinnon,C,32,84,41,9,0,5,29,0,320,756,758,58,38,mackina01
Leon Draisaitl,C,52,54,34,16,0,11,17,0,240,650,546,27,23,draisle01
David Pastrňák,RW,43,63,42,9,0,4,14,0,319,3,5,24,58,pastrda01
Mitch Marner,RW,27,75,14,6,1,7,27,1,173,10,24,40,49,marnemi01
Connor McDavid,C,26,74,37,9,0,3,22,0,196,370,406,18,40,mcdavco01
Kyle Connor,LW,41,56,25,9,2,8,19,0,267,1,7,46,21,connoky01
Jack Eichel,C,28,66,8,5,1,3,29,1,233,572,682,55,22,eicheja01
Cale Makar,D,30,62,14,12,2,4,23,1,246,0,0,128,51,makarca01
Sidney Crosby,C,33,58,31,12,0,10,15,0,227,1016,766,39,67,crosbsi01
Brandon Hagel,LW,35,55,58,0,3,4,11,4,228,8,15,60,59,hagelbr01
Clayton Keller,C,30,60,28,10,0,5,27,0,218,10,20,30,11,kellecl01
Artemi Panarin,LW,37,52,16,8,0,3,18,0,237,0,1,11,18,panarar01
Nick Suzuki,C,30,59,8,4,2,9,23,0,172,680,638,70,63,suzukni01
Jesper Bratt,W,21,67,18,4,2,2,30,2,180,0,3,42,96,brattje01
Mikko Rantanen,RW,32,56,60,11,0,6,15,0,212,135,120,44,48,rantami01
Mikko Rantanen,RW,25,39,28,8,0,5,11,0,135,121,106,32,28,rantami01
Mikko Rantanen,RW,2,4,10,1,0,1,1,0,40,5,5,3,10,rantami01
Mikko Rantanen,RW,5,13,22,2,0,0,3,0,37,9,9,9,10,rantami01
Mark Scheifele,C,39,48,61,11,0,11,14,0,180,627,641,60,73,scheima01
William Nylander,C,45,39,26,12,0,8,18,0,253,76,77,27,14,nylanwi01
Martin Nečas,C,27,56,16,12,0,8,25,0,194,51,84,23,62,necasma01
Martin Nečas,C,16,39,10,7,0,5,15,0,113,48,78,16,40,necasma01
Martin Nečas,C,11,17,6,5,0,3,10,0,81,3,6,7,22,necasma01
Matt Duchene,C,30,52,12,8,0,6,19,0,152,440,400,21,29,duchema01
Brayden Point,C,42,40,7,16,0,7,15,0,189,430,456,45,26,pointbr01
Dylan Strome,C,29,53,34,9,0,3,25,0,149,691,596,54,23,stromdy01
Zach Werenski,D,23,59,31,5,1,5,20,2,298,0,0,131,19,werenza01
Sam Reinhart,C,39,42,27,13,5,4,17,1,213,212,302,62,103,reinhsa01
Robert Thomas,C,21,60,20,3,1,5,16,0,145,733,605,48,13,thomaro01
Jake Guentzel,C,41,39,24,17,1,5,11,0,217,177,207,52,28,guentja01
Lucas Raymond,LW,27,53,18,8,1,5,29,0,192,1,7,34,42,raymolu01
Jason Robertson,LW,35,45,18,9,0,6,10,0,211,7,12,45,60,roberja01
Tim Stützle,LW,24,55,46,5,0,2,28,0,162,195,213,45,130,stuetti02
Auston Matthews,C,33,45,20,10,2,2,15,0,261,695,528,89,45,matthau01
Filip Forsberg,C,31,45,44,10,0,3,16,0,281,4,13,52,151,forsbfi01
Quinn Hughes,D,16,60,29,4,0,3,25,0,192,0,0,67,13,hughequ01
Travis Konecny,RW,24,52,53,8,1,3,9,2,188,39,61,42,94,konectr01
Sebastian Aho,F,29,45,46,5,3,9,18,4,207,663,535,30,59,ahose01
Kirill Marchenko,RW,31,43,20,2,0,2,17,0,207,13,28,38,55,marchki01
John Tavares,C,38,36,46,12,0,8,8,0,200,762,546,45,92,tavarjo01
Matt Boldy,LW,27,46,51,6,0,10,15,0,271,58,67,69,52,boldyma01
Adrian Kempe,LW,35,38,36,7,1,5,11,0,237,11,13,36,100,kempead01
Alex Ovechkin,LW,44,29,14,14,0,7,8,0,237,0,2,13,110,ovechal01
Tage Thompson,C,44,28,35,7,0,6,9,0,242,301,403,31,70,thompta01
Aleksander Barkov,C,20,51,16,9,1,4,19,3,149,580,446,54,87,barkoal01
Wyatt Johnston,C,33,38,14,11,3,4,14,0,202,465,444,47,45,johnswy01
Cole Caufield,RW,37,33,14,10,0,8,7,0,239,6,9,31,66,caufico01
Alex DeBrincat,RW,39,31,29,13,0,4,16,0,244,26,32,38,33,debrial01
Jack Hughes,C,27,43,18,6,1,7,21,1,229,251,416,29,7,hugheja03
Jordan Kyrou,C,36,34,20,7,0,4,10,0,239,5,10,36,50,kyroujo01
Dylan Larkin,C,30,40,40,13,0,3,14,0,234,871,728,33,44,larkidy01
Rickard Rakell,RW,35,35,14,9,0,1,10,0,203,19,26,77,116,rakelri01
J.T. Miller,C,22,48,55,5,0,2,17,4,137,628,450,50,168,millejt01
J.T. Miller,C,9,26,37,2,0,2,12,0,82,409,289,28,92,millejt01
J.T. Miller,C,13,22,18,3,0,0,5,4,55,219,161,22,76,millejt01
Nico Hischier,C,35,34,20,14,0,3,15,2,187,987,790,60,44,hischni01
Drake Batherson,C,26,42,30,13,0,3,18,0,192,12,12,30,149,bathedr01
Rasmus Dahlin,D,17,51,54,5,0,1,16,1,200,0,0,98,101,dahlira01
JJ Peterka,RW,27,41,34,6,0,3,12,0,173,2,10,16,30,peterjo01
Connor Bedard,C,23,44,70,11,0,5,18,0,195,251,405,37,47,bedarco01
Evan Bouchard,D,14,53,32,3,0,2,23,0,235,0,0,108,31,bouchev01
Roope Hintz,LW,28,39,30,7,1,7,13,1,160,458,392,46,53,hintzro01
Seth Jarvis,C,32,35,16,7,5,2,12,2,204,52,100,51,93,jarvise01
Nazem Kadri,C,35,32,72,9,0,5,13,0,279,677,787,30,55,kadrina01
Anže Kopitar,C,21,46,4,4,0,7,18,1,98,879,658,67,31,kopitan01
Mark Stone,RW,19,48,14,5,0,4,20,1,131,5,10,42,32,stonema01
